id,projeto_id,periodo,valor,origem
3d99005c-7903-4297-832e-87c29cf3d75d,ab30f911-eb2f-49da-802b-4dd398555c9c,2026-01-01,50000,manual
73b4bed8-912b-4319-b718-8495e3c2a094,ccf66fb7-440f-4045-bae8-7bf6455323aa,2026-01-01,36000,manual
096bc3c7-3a1e-4af6-b28d-79e641b488ef,8b418328-ddaa-47d0-a0da-de95f897cddd,2026-01-01,80000,manual
47d82c40-84f1-4e18-832e-1ffad08828d8,901be6d9-9f9c-4163-b66e-fcfefb3967fe,2026-01-01,44000,manual
9971e450-03c3-4f01-9f75-c2bbd13f1638,ace00230-18e9-4630-b688-9cd4d4383021,2026-01-01,30000,manual
f1430ece-8bd4-46bf-be99-99941ba07eb1,ce27052e-bd4a-4c38-af3d-6f7e9257d5a9,2026-01-01,18000,manual
40ffe5ca-9804-410e-a74c-939d224a0e68,a0b98bd1-8ea2-4d09-9d3b-6e512185aa4d,2026-01-01,24000,manual
893b3138-ec47-4744-a382-7cb39c9e9029,85260d09-ccff-4e7f-964a-73679d26afd6,2026-01-01,20000,manual
e9f43473-c9fe-427f-9199-10e4a57aadc5,0b8386f3-3edc-4064-a0a5-403b71c88fa0,2026-01-01,32000,manual
2e0067e3-b44f-41e8-b4e8-cf1e0ae2c42f,78ccff8c-8722-4038-a693-ad0de974c39c,2026-01-01,22000,manual
