id,beneficio_id,periodo,valor_realizado,status,medicao_ajuste_id
d3c1e44e-691d-4596-a7df-145007da70c0,c3106336-19a0-4c90-befd-57e56fa99f82,2026-01-01,21250,validada,
449cc0c5-77ea-4bfa-ba6f-caeb223dae14,c3106336-19a0-4c90-befd-57e56fa99f82,2026-02-01,22500,validada,
9b50dd16-bcdf-4550-8685-7e316e3452ef,c3106336-19a0-4c90-befd-57e56fa99f82,2026-03-01,23750,validada,
a4185f3d-c14b-4127-b918-deda2d6f67f6,8e8e04f5-c6a9-4f06-91b9-719adfb2f138,2026-01-01,15300,validada,
4b2b5315-012e-4adc-ac1e-20cf0e375ff5,8e8e04f5-c6a9-4f06-91b9-719adfb2f138,2026-02-01,16200,validada,
e189d930-3d23-411c-bacc-efbd5e58bb85,8e8e04f5-c6a9-4f06-91b9-719adfb2f138,2026-03-01,17100,validada,
e1a12845-2ff7-4ae8-9400-4147099679e9,8e8e04f5-c6a9-4f06-91b9-719adfb2f138,2026-04-01,18000,pendente_validacao,
9f781dc9-9b26-4e4d-b9f6-7b11fa3bb2b2,ae423b85-0404-4ecd-95b7-afbd0fd0372d,2026-01-01,34000,validada,
b46a4708-b34a-40f2-b42d-235155c0f348,ae423b85-0404-4ecd-95b7-afbd0fd0372d,2026-02-01,36000,validada,
6ef977e1-d0d8-4d4b-b4fe-07aaed69ff7c,ae423b85-0404-4ecd-95b7-afbd0fd0372d,2026-03-01,38000,validada,
40553a85-f506-4db3-8894-9061bfdcc1f9,ae423b85-0404-4ecd-95b7-afbd0fd0372d,2026-04-01,40000,pendente_validacao,
a430020b-0b2c-409d-838c-858d0c1837d3,2a6c6587-f385-452f-9f3a-c6944fd68cc1,2026-01-01,18700,validada,
c1566135-807b-40b2-96e4-63ff10e2a81e,2a6c6587-f385-452f-9f3a-c6944fd68cc1,2026-02-01,19800,validada,
5a147087-7916-4cf6-b702-5f5c1db1713a,2a6c6587-f385-452f-9f3a-c6944fd68cc1,2026-03-01,20900,validada,
61ba3d1e-d62d-4858-88d2-45887f459237,2a6c6587-f385-452f-9f3a-c6944fd68cc1,2026-04-01,22000,pendente_validacao,
46aeabbc-5fde-4901-919f-f655cea25b6c,dadd591f-38e2-4482-8602-40d5a78c400a,2026-01-01,12750,validada,
0e2ab3b0-5c8b-4a07-9f24-71d9ede7c284,dadd591f-38e2-4482-8602-40d5a78c400a,2026-02-01,13500,validada,
53cb9046-0f89-4b4c-8c52-7df67309601f,dadd591f-38e2-4482-8602-40d5a78c400a,2026-03-01,14250,validada,
25a1f539-2c6c-4305-8ec8-4b85c2be9109,dadd591f-38e2-4482-8602-40d5a78c400a,2026-04-01,15000,pendente_validacao,
7da874c5-164b-4be2-b41e-d389947b072b,c0b4c3e4-5316-42ef-93cc-a8fb1925d9bf,2026-01-01,7650,validada,
52852536-0c77-4cbb-845f-83de269d2bbf,c0b4c3e4-5316-42ef-93cc-a8fb1925d9bf,2026-02-01,8100,validada,
13bc34a3-ea31-44bb-81d5-aaae3633d0a7,c0b4c3e4-5316-42ef-93cc-a8fb1925d9bf,2026-03-01,8550,validada,
97acca37-1662-4318-ab20-49b643c26be5,c0b4c3e4-5316-42ef-93cc-a8fb1925d9bf,2026-04-01,9000,pendente_validacao,
1408cf06-7282-443d-a425-daf975832918,df1090bf-06d4-4e40-bd8e-5528a28e3a73,2026-01-01,10200,validada,
4889d74e-95ab-4483-abd4-6060d89a8bb7,df1090bf-06d4-4e40-bd8e-5528a28e3a73,2026-02-01,10800,validada,
d9a29e3d-4ef2-4daf-a4b2-e5407b8d968c,df1090bf-06d4-4e40-bd8e-5528a28e3a73,2026-03-01,11400,validada,
dbb34277-c1b0-4063-99f3-1070212c173a,df1090bf-06d4-4e40-bd8e-5528a28e3a73,2026-04-01,12000,pendente_validacao,
3132d307-9abb-414a-aee0-8d798c1daa06,65a48fe0-0114-4acc-a2b7-61f8a8f868f6,2026-01-01,8500,validada,
16e763b0-6a6a-421b-839c-d600eecb6ac2,65a48fe0-0114-4acc-a2b7-61f8a8f868f6,2026-02-01,9000,validada,
531b73ae-5691-491b-a3ba-9e5f007d5b6f,65a48fe0-0114-4acc-a2b7-61f8a8f868f6,2026-03-01,9500,validada,
1364e554-0c0e-4893-a19b-77c6eaf2330e,65a48fe0-0114-4acc-a2b7-61f8a8f868f6,2026-04-01,10000,pendente_validacao,
a3155844-fd88-4363-a2ab-64401c14434e,4565da6b-18e9-4972-b8af-b8eb26292cb3,2026-01-01,13600,validada,
818ece06-fdcb-4ddf-a4d7-0e0f9f50ffac,4565da6b-18e9-4972-b8af-b8eb26292cb3,2026-02-01,14400,validada,
eab78918-a24c-431e-a2ad-30660beddf67,4565da6b-18e9-4972-b8af-b8eb26292cb3,2026-03-01,15200,validada,
32012c65-988b-4c9c-9968-1b6dc90f375f,4565da6b-18e9-4972-b8af-b8eb26292cb3,2026-04-01,16000,pendente_validacao,
2f39b858-683b-4329-9d84-25e3b961d8f4,4aa68abf-ce4d-418b-a88d-3de1ff98f88a,2026-01-01,9350,validada,
93538497-7081-4bc6-8f10-45e5578920dc,4aa68abf-ce4d-418b-a88d-3de1ff98f88a,2026-02-01,9900,validada,
a222280e-6737-4da5-a426-970e4795f623,4aa68abf-ce4d-418b-a88d-3de1ff98f88a,2026-03-01,10450,validada,
f6f426bf-adfa-4c8d-a133-bda8650f1dc1,4aa68abf-ce4d-418b-a88d-3de1ff98f88a,2026-04-01,11000,pendente_validacao,
4cbfed20-7eea-46cc-b06a-827d647a738a,c3106336-19a0-4c90-befd-57e56fa99f82,2026-04-01,25000,validada,
