id,medicao_id,decisao,validada_em
de718198-7fff-4c7d-a69e-8f9e155b913d,d3c1e44e-691d-4596-a7df-145007da70c0,aprovada,2026-07-26T05:36:03.257Z
5d6495cd-d691-4b3e-9ec0-5ae73e5a5646,449cc0c5-77ea-4bfa-ba6f-caeb223dae14,aprovada,2026-07-26T05:36:03.260Z
5ade9b97-9ca0-41e6-af39-5faeef67928a,9b50dd16-bcdf-4550-8685-7e316e3452ef,aprovada,2026-07-26T05:36:03.262Z
b60c5624-9b86-4629-b6bc-d5835d07e16e,a4185f3d-c14b-4127-b918-deda2d6f67f6,aprovada,2026-07-26T05:36:03.275Z
665c0725-7076-489e-ae95-798fc9d21146,4b2b5315-012e-4adc-ac1e-20cf0e375ff5,aprovada,2026-07-26T05:36:03.278Z
325475b1-ee2d-40b2-bae7-b4fad0436e8e,e189d930-3d23-411c-bacc-efbd5e58bb85,aprovada,2026-07-26T05:36:03.280Z
8c51c84e-e5d3-4c86-89c7-84bf228e9a94,9f781dc9-9b26-4e4d-b9f6-7b11fa3bb2b2,aprovada,2026-07-26T05:36:03.290Z
68b1dbcd-2889-4b23-8b9c-5a093057cf47,b46a4708-b34a-40f2-b42d-235155c0f348,aprovada,2026-07-26T05:36:03.291Z
eff1ecf4-76f9-4de6-9ce4-aece4a9dcdc4,6ef977e1-d0d8-4d4b-b4fe-07aaed69ff7c,aprovada,2026-07-26T05:36:03.294Z
61ec7507-f66d-4923-9f19-85314ac6c7e3,a430020b-0b2c-409d-838c-858d0c1837d3,aprovada,2026-07-26T05:36:03.306Z
5d438f6c-e340-4ac4-af1f-71da4e5ca1c7,c1566135-807b-40b2-96e4-63ff10e2a81e,aprovada,2026-07-26T05:36:03.309Z
7b11c33f-a17b-41d0-ac1b-f55aaedeae12,5a147087-7916-4cf6-b702-5f5c1db1713a,aprovada,2026-07-26T05:36:03.311Z
6f78449a-b622-4887-a451-673b1b05563e,46aeabbc-5fde-4901-919f-f655cea25b6c,aprovada,2026-07-26T05:36:03.323Z
89e955da-298a-4e81-a6bf-aad1aab79a3f,0e2ab3b0-5c8b-4a07-9f24-71d9ede7c284,aprovada,2026-07-26T05:36:03.324Z
bea80fb6-fa66-4b99-b15a-5f206d4ec100,53cb9046-0f89-4b4c-8c52-7df67309601f,aprovada,2026-07-26T05:36:03.326Z
e866b3ec-d02f-4f87-8141-24f275f8eb62,7da874c5-164b-4be2-b41e-d389947b072b,aprovada,2026-07-26T05:36:03.336Z
9546c1eb-cc94-45c3-aeaa-6bba0313b832,52852536-0c77-4cbb-845f-83de269d2bbf,aprovada,2026-07-26T05:36:03.338Z
104cb1ca-5532-4e9e-8c96-ff7a0b15264d,13bc34a3-ea31-44bb-81d5-aaae3633d0a7,aprovada,2026-07-26T05:36:03.340Z
8f001a34-eaa1-4b1c-9479-707c5905d2e5,1408cf06-7282-443d-a425-daf975832918,aprovada,2026-07-26T05:36:03.351Z
e850c9e1-7c84-4d67-94af-838dde82c9ac,4889d74e-95ab-4483-abd4-6060d89a8bb7,aprovada,2026-07-26T05:36:03.354Z
25a1b6d9-6311-4b98-b2a4-235fad427d30,d9a29e3d-4ef2-4daf-a4b2-e5407b8d968c,aprovada,2026-07-26T05:36:03.355Z
cb5d999d-0daf-496a-9af6-21cf98012d10,3132d307-9abb-414a-aee0-8d798c1daa06,aprovada,2026-07-26T05:36:03.365Z
da5267f7-397e-414c-b75d-f126f369a858,16e763b0-6a6a-421b-839c-d600eecb6ac2,aprovada,2026-07-26T05:36:03.367Z
88470d72-c461-4c52-bcfc-5f34027916f3,531b73ae-5691-491b-a3ba-9e5f007d5b6f,aprovada,2026-07-26T05:36:03.369Z
ab91757d-4380-4a2b-8876-c79afcb0663c,a3155844-fd88-4363-a2ab-64401c14434e,aprovada,2026-07-26T05:36:03.379Z
1a4638fc-cb41-4fb1-8e7b-de38c84b84a3,818ece06-fdcb-4ddf-a4d7-0e0f9f50ffac,aprovada,2026-07-26T05:36:03.381Z
b1b09865-c889-45b3-b9c2-2dced5ca3902,eab78918-a24c-431e-a2ad-30660beddf67,aprovada,2026-07-26T05:36:03.382Z
a521601f-87a2-4c00-9ab6-88dae3e82a1b,2f39b858-683b-4329-9d84-25e3b961d8f4,aprovada,2026-07-26T05:36:03.392Z
8631ac27-46f6-454b-a3e5-3b069db69517,93538497-7081-4bc6-8f10-45e5578920dc,aprovada,2026-07-26T05:36:03.393Z
d0d2f029-c152-42b4-a880-946822365fcd,a222280e-6737-4da5-a426-970e4795f623,aprovada,2026-07-26T05:36:03.395Z
c2991fcf-18eb-4d34-af1f-141ebf13dec3,4cbfed20-7eea-46cc-b06a-827d647a738a,aprovada,2026-07-26T05:37:07.191Z
