id,beneficio_id,valor_total,versao,vigente,congelada_em
40a9d463-3ed6-45db-a7d3-91630a93908e,c3106336-19a0-4c90-befd-57e56fa99f82,300000,1,true,2026-01-15T00:00:00.000Z
68893349-5e91-42e5-b7d7-0204f526f9d4,ca351c19-9928-4b0c-8df9-e9f058b4b447,60000,1,true,2026-01-15T00:00:00.000Z
ad0b35bd-55a4-4638-a35c-f5469bd41bff,8e8e04f5-c6a9-4f06-91b9-719adfb2f138,216000,1,true,2026-01-15T00:00:00.000Z
0b024f6f-84d7-4d96-98a7-88ec2e9dd23d,1ba1862b-aff2-481e-874e-3efe05e0be1f,48000,1,true,2026-01-15T00:00:00.000Z
eb8100c1-ad1f-4782-b3bb-219f089bd8b4,ae423b85-0404-4ecd-95b7-afbd0fd0372d,480000,1,true,2026-01-15T00:00:00.000Z
082b714e-d3f7-4cc5-a0c4-8f84dca1b531,2a6c6587-f385-452f-9f3a-c6944fd68cc1,264000,1,true,2026-01-15T00:00:00.000Z
358b688d-81de-49a9-8cc6-55e407598ad5,906cb709-4957-4817-be25-e674db8ad19f,96000,1,true,2026-01-15T00:00:00.000Z
b25ce20f-409b-4aa7-be5f-d8340fb1cbc7,dadd591f-38e2-4482-8602-40d5a78c400a,180000,1,true,2026-01-15T00:00:00.000Z
c2f29102-794a-421b-8491-ae08602cefb5,b20f6e96-7311-4d8f-b303-5dd368924283,72000,1,true,2026-01-15T00:00:00.000Z
737d72a3-ec2c-403c-9e45-b31370696162,c0b4c3e4-5316-42ef-93cc-a8fb1925d9bf,108000,1,true,2026-01-15T00:00:00.000Z
5a29a5ff-0201-4ec9-8d1d-0ac88e30775f,6c59d1d8-22e7-4763-a7cc-547892c48ddb,36000,1,true,2026-01-15T00:00:00.000Z
43662064-7b4d-455c-851a-4b1f212bd0e8,df1090bf-06d4-4e40-bd8e-5528a28e3a73,144000,1,true,2026-01-15T00:00:00.000Z
add0d2a9-4bde-43e5-8250-0fd835cb43ba,f2f20dd3-854c-4b0b-b8a7-a2fdd05c0bf9,84000,1,true,2026-01-15T00:00:00.000Z
eee3ce57-9734-4b9b-8707-0b68d9a85783,65a48fe0-0114-4acc-a2b7-61f8a8f868f6,120000,1,true,2026-01-15T00:00:00.000Z
b0c1fcbb-97ce-4414-a302-af0d543f7af3,5eb799c8-c173-439e-96ac-f0a255c66ebb,108000,1,true,2026-01-15T00:00:00.000Z
1fb3974d-95c6-4610-a53e-c4758b170995,4565da6b-18e9-4972-b8af-b8eb26292cb3,192000,1,true,2026-01-15T00:00:00.000Z
4f0c19ca-6423-4ff1-b184-8e8c326173da,0dce9236-961b-4793-89bb-a493aad0e8fd,24000,1,true,2026-01-15T00:00:00.000Z
bd211991-df88-4e51-b2fb-863bdec888bc,4aa68abf-ce4d-418b-a88d-3de1ff98f88a,132000,1,true,2026-01-15T00:00:00.000Z
0d16c834-a84f-4f66-9b92-9d22eeb707e3,4d997d2e-eaed-49fb-a294-59b7db7f0fd6,60000,1,true,2026-01-15T00:00:00.000Z
