id,projeto_id,gate,decisao,decidida_em
cb003c77-b6a1-4b6c-90c9-5f58bef81b70,ab30f911-eb2f-49da-802b-4dd398555c9c,G2,go,2026-07-26T05:36:03.254Z
c1c2f344-4179-4ef9-9c02-e03fa3adda68,ccf66fb7-440f-4045-bae8-7bf6455323aa,G2,go,2026-07-26T05:36:03.273Z
c01b57fc-42fb-4a52-9f51-3781f0a729f1,8b418328-ddaa-47d0-a0da-de95f897cddd,G2,go,2026-07-26T05:36:03.287Z
e6380170-0c17-427e-a224-aaa8d4e68d4d,901be6d9-9f9c-4163-b66e-fcfefb3967fe,G2,go,2026-07-26T05:36:03.304Z
4705cfd1-15bc-42bd-b91a-c4a892d5c9fc,ace00230-18e9-4630-b688-9cd4d4383021,G2,go,2026-07-26T05:36:03.321Z
7102ee07-8435-4b09-bfa9-88fdcfc2d425,ce27052e-bd4a-4c38-af3d-6f7e9257d5a9,G2,go,2026-07-26T05:36:03.335Z
9c0dcc01-c0a7-4809-a8dd-741575216b5d,a0b98bd1-8ea2-4d09-9d3b-6e512185aa4d,G2,go,2026-07-26T05:36:03.349Z
7b1ff832-db8c-4a9d-941a-6901196ce8ca,85260d09-ccff-4e7f-964a-73679d26afd6,G2,go,2026-07-26T05:36:03.363Z
a7765946-9427-4910-9fa6-7f3466547e9c,0b8386f3-3edc-4064-a0a5-403b71c88fa0,G2,go,2026-07-26T05:36:03.378Z
73896988-08ae-4d59-86ff-af3e2c1444be,78ccff8c-8722-4038-a693-ad0de974c39c,G2,go,2026-07-26T05:36:03.390Z
